Ticker,Company,GICS Sector,GICS Sub Industries
AMD,AMD,Information Technology,Semiconductors
ED,Con Edison,Utilities,Electric Utilities
GLW,Corning,Information Technology,Electronic Components
DHR,Danaher,Health Care,Health Care Equipment
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
D,Dominion Energy,Utilities,Electric Utilities
ETN,Eaton,Industrials,Electrical Components & Equipment
ES,Eversource Energy,Utilities,Multi-Utilities
FITB,Fifth Third Bancorp,Financials,Regional Banks
FE,FirstEnergy,Utilities,Electric Utilities
BEN,Franklin Resources,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoRan,Materials,Copper
GE,General Electric,Industrials,Industrial Conglomerates
HUM,Humana,Health Care,Managed Health Care
HBAN,Huntington Bancshares,Financials,Regional Banks
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment
L,Loews Corporation,Financials,Multi-line Insurance
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MCK,McKesson Corporation,Health Care,Health Care Distributors
MET,MetLife,Financials,Life & Health Insurance
MCO,Moody's,Financials,Financial Exchanges & Data
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MSI,Motorola Solutions,Information Technology,Communications Equipment
NI,NiSource,Utilities,Multi-Utilities
NTRS,Northern Trust,Financials,Asset Management & Custody Banks
OMC,Omnicom Group,Communication Services,Advertising
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services
PNW,Pinnacle West Capital,Utilities,Multi-Utilities
PPL,PPL,Utilities,Electric Utilities
QCOM,Qualcomm,Information Technology,Semiconductors
RTX,Raytheon Technologies,Industrials,Aerospace & Defense
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
SPGI,S&P Global,Financials,Financial Exchanges & Data
SRE,Sempra Energy,Utilities,Multi-Utilities
SBUX,Starbucks,Consumer Discretionary,Restaurants
STT,State Street Corporation,Financials,Asset Management & Custody Banks
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
TPR,Tapestry,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TXN,Texas Instruments,Information Technology,Semiconductors
USB,U.S. Bancorp,Financials,Diversified Banks
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VIAC,ViacomCBS,Communication Services,Movies & Entertainment
VNO,Vornado Realty Trust,Real Estate,Office REITs
WM,Waste Management,Industrials,Environmental & Facilities Services
WAT,Waters Corporation,Health Care,Health Care Distributors
WRK,WestRock,Materials,Paper Packaging
WY,Weyerhaeuser,Real Estate,Specialized REITs
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances
MO,Altria,Consumer Staples,Tobacco
AEP,American Electric Power,Utilities,Electric Utilities
BA,Boeing,Industrials,Aerospace & Defense
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks
CVX,Chevron,Energy,Integrated Oil & Gas
KO,Coca-Cola,Consumer Staples,Soft Drinks
CL,Colgate-Palmolive,Consumer Staples,Household Products
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
CVS,CVS Health,Health Care,Health Care Services
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery
DTE,DTE Energy,Utilities,Multi-Utilities
EIX,Edison International,Utilities,Electric Utilities
ETR,Entergy,Utilities,Electric Utilities
EXC,Exelon,Utilities,Multi-Utilities
XOM,ExxonMobil,Energy,Integrated Oil & Gas
F,Ford,Consumer Discretionary,Automobile Manufacturers
GD,General Dynamics,Industrials,Aerospace & Defense
HAL,Halliburton,Energy,Oil & Gas Equipment & Services
HIG,The Hartford,Financials,Property & Casualty Insurance
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats
IBM,IBM,Information Technology,IT Consulting & Other Services
IP,International Paper,Materials,Paper Packaging
KMB,Kimberly-Clark,Consumer Staples,Household Products
KR,Kroger,Consumer Staples,Food Retail
MRK,Merck,Health Care,Pharmaceuticals
NSC,Norfolk Southern,Industrials,Railroads
PEP,PepsiCo,Consumer Staples,Soft Drinks
PFE,Pfizer,Health Care,Pharmaceuticals
PPG,PPG Industries,Materials,Specialty Chemicals
PG,Procter & Gamble,Consumer Staples,Personal Products
PEG,PSEG,Utilities,Electric Utilities
SEE,Sealed Air,Materials,Paper Packaging
SO,Southern Company,Utilities,Electric Utilities
UNP,Union Pacific,Industrials,Railroads
XEL,Xcel Energy,Utilities,Multi-Utilities
ABT,Abbott,Health Care,Health Care Equipment
HON,Honeywell,Industrials,Industrial Conglomerates
HWM,Howmet Aerospace,Industrials,Aerospace & Defense
SHW,Sherwin-Williams,Materials,Specialty Chemicals
CMI,Cummins,Industrials,Industrial Machinery
EMR,Emerson,Industrials,Electrical Components & Equipment
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
CSX,CSX,Industrials,Railroads
CLX,Clorox,Consumer Staples,Household Products
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
NEM,Newmont,Materials,Gold
MCD,McDonald's,Consumer Discretionary,Restaurants
LLY,Eli Lilly,Health Care,Pharmaceuticals
BAX,Baxter International,Health Care,Health Care Equipment
BDX,Becton Dickinson,Health Care,Health Care Equipment
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores
HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals"
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
JPM,JPMorgan Chase,Financials,Diversified Banks
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
AXP,American Express,Financials,Consumer Finance
BAC,Bank of America,Financials,Diversified Banks
CI,Cigna,Health Care,Managed Health Care
DUK,Duke Energy,Utilities,Electric Utilities
LNC,Lincoln National,Financials,Multi-line Insurance
TAP,Molson Coors,Consumer Staples,Brewers
NEE,NextEra Energy,Utilities,Multi-Utilities
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment
WFC,Wells Fargo,Financials,Diversified Banks
MMM,3M,Industrials,Industrial Conglomerates
INTC,Intel,Information Technology,Semiconductors
TGT,Target,Consumer Discretionary,General Merchandise Stores
TXT,Textron,Industrials,Aerospace & Defense
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
AIG,AIG,Financials,Property & Casualty Insurance
FDX,FedEx,Industrials,Air Freight & Logistics
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services
GWW,W. W. Grainger,Industrials,Industrial Machinery
MAS,Masco,Industrials,Building Products
ADM,ADM,Consumer Staples,Agricultural Products
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers
SNA,Snap-on,Industrials,Industrial Machinery
SWK,Stanley Black & Decker,Industrials,Industrial Machinery
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals"
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
BBWI,Bath & Body Works,Consumer Discretionary,Specialty Stores
T,AT&T,Communication Services,Integrated Telecommunication Services
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
PHM,PulteGroup,Consumer Discretionary,Homebuilding
HES,Hess Corporation,Energy,Integrated Oil & Gas
LMT,Lockheed Martin,Industrials,Aerospace & Defense
HAS,Hasbro,Consumer Discretionary,Leisure Products
BLL,Ball,Materials,Metal & Glass Containers
APD,Air Products,Materials,Industrial Gases
NUE,Nucor,Materials,Steel
PKI,PerkinElmer,Health Care,Health Care Equipment
NOC,Northrop Grumman,Industrials,Aerospace & Defense
CNP,CenterPoint Energy,Utilities,Multi-Utilities
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
DOV,Dover Corporation,Industrials,Industrial Machinery
PH,Parker-Hannifin,Industrials,Industrial Machinery
ITW,Illinois Tool Works,Industrials,Industrial Machinery
GPS,Gap,Consumer Discretionary,Apparel Retail
MDT,Medtronic,Health Care,Health Care Equipment
SYY,Sysco,Consumer Staples,Food Distributors
MMC,Marsh & McLennan,Financials,Insurance Brokers
AVY,Avery Dennison,Materials,Paper Packaging
HD,Home Depot,Consumer Discretionary,Home Improvement Retail
PNC,PNC Financial Services,Financials,Regional Banks
C,Citigroup,Financials,Diversified Banks
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
ECL,Ecolab,Materials,Specialty Chemicals
GL,Globe Life,Financials,Life & Health Insurance
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
ORCL,Oracle,Information Technology,Application Software
K,Kellogg's,Consumer Staples,Packaged Foods & Meats
ADSK,Autodesk,Information Technology,Application Software
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production
AEE,Ameren,Utilities,Multi-Utilities
AMGN,Amgen,Health Care,Biotechnology
LIN,Linde,Materials,Industrial Gases
IPG,Interpublic Group,Communication Services,Advertising
COST,Costco,Consumer Staples,Hypermarkets & Super Centers
CSCO,Cisco,Information Technology,Communications Equipment
EMN,Eastman Chemical,Materials,Diversified Chemicals
KEY,KeyCorp,Financials,Regional Banks
MSFT,Microsoft,Information Technology,Systems Software
LUV,Southwest Airlines,Industrials,Airlines
UNH,UnitedHealth Group,Health Care,Managed Health Care
MU,Micron Technology,Information Technology,Semiconductors
BSX,Boston Scientific,Health Care,Health Care Equipment
AMAT,Applied Materials,Information Technology,Semiconductor Equipment
BK,BNY Mellon,Financials,Asset Management & Custody Banks
ALL,Allstate,Financials,Property & Casualty Insurance
CMA,Comerica,Financials,Diversified Banks
AON,Aon,Financials,Insurance Brokers
AZO,AutoZone,Consumer Discretionary,Specialty Stores
ADBE,Adobe,Information Technology,Application Software
CAH,Cardinal Health,Health Care,Health Care Distributors
SCHW,Charles Schwab,Financials,Investment Banking & Brokerage
EFX,Equifax,Industrials,Research & Consulting Services
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
PGR,Progressive Corporation,Financials,Property & Casualty Insurance
YUM,Yum! Brands,Consumer Discretionary,Restaurants
TFC,Truist Financial,Financials,Regional Banks
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
COF,Capital One,Financials,Consumer Finance
RF,Regions Financial Corporation,Financials,Regional Banks
AES,AES,Utilities,Independent Power Producers & Energy Traders
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
LUMN,Lumen Technologies,Communication Services,Alternative Carriers
CMS,CMS Energy,Utilities,Multi-Utilities
AFL,Aflac,Financials,Life & Health Insurance
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
VMC,Vulcan Materials,Materials,Construction Materials
ADI,Analog Devices,Information Technology,Semiconductors
XLNX,Xilinx,Information Technology,Semiconductors
CTXS,Citrix,Information Technology,Application Software
A,Agilent Technologies,Health Care,Health Care Equipment
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
INTU,Intuit,Information Technology,Application Software
RHI,Robert Half International,Industrials,Human Resource & Employment Services
SYK,Stryker Corporation,Health Care,Health Care Equipment
CTAS,Cintas,Industrials,Diversified Support Services
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services
ZION,Zions Bancorp,Financials,Regional Banks
ZBH,Zimmer Biomet,Health Care,Health Care Equipment
ABC,AmerisourceBergen,Health Care,Health Care Distributors
NVDA,Nvidia,Information Technology,Semiconductors
EQR,Equity Residential,Real Estate,Residential REITs
SPG,Simon Property Group,Real Estate,Retail REITs
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
GS,Goldman Sachs,Financials,Investment Banking & Brokerage
PFG,Principal Financial Group,Financials,Life & Health Insurance
PRU,Prudential Financial,Financials,Life & Health Insurance
UPS,United Parcel Service,Industrials,Air Freight & Logistics
